*********************Start Log*********************  TIME: Thu Nov 17 16:44:27 2022
[INFO] : initTableByindex...             Thu Nov 17 16:44:27 2022
[INFO] : search col: 1 range:100 2000             Thu Nov 17 16:45:27 2022
[INFO] : search directly...             Thu Nov 17 16:45:27 2022

*********************Start Log*********************  TIME: Thu Nov 17 16:58:12 2022
[INFO] : initTableByindex...             Thu Nov 17 16:58:12 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 16:58:30 2022
[INFO] : search directly...             Thu Nov 17 16:58:30 2022
[INFO] : create Index of col 0 ...             Thu Nov 17 16:58:35 2022
[INFO] : create Index of col 0 end.             Thu Nov 17 16:59:23 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 16:59:23 2022
[INFO] : searchByIndex...             Thu Nov 17 16:59:23 2022
[INFO] : BPlusTree serialization...             Thu Nov 17 16:59:23 2022
[INFO] : serialization end.             Thu Nov 17 16:59:27 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:39:20 2022
[INFO] : initTableByindex...             Thu Nov 17 18:39:20 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:39:26 2022
[INFO] : search directly...             Thu Nov 17 18:39:26 2022
[INFO] : create Index of col 0 ...             Thu Nov 17 18:39:27 2022
[INFO] : create Index of col 0 end.             Thu Nov 17 18:39:39 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:39:39 2022
[INFO] : searchByIndex...             Thu Nov 17 18:39:39 2022
[INFO] : BPlusTree serialization...             Thu Nov 17 18:39:39 2022
[INFO] : serialization end.             Thu Nov 17 18:39:41 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:40:51 2022
[ERROR] : open file error.             Thu Nov 17 18:40:51 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:41:11 2022
[ERROR] : open file error.             Thu Nov 17 18:41:11 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:41:13 2022
[ERROR] : open file error.             Thu Nov 17 18:41:13 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:43:39 2022
[INFO] : initTableByindex...             Thu Nov 17 18:43:39 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:44:29 2022
[INFO] : search directly...             Thu Nov 17 18:44:29 2022
[INFO] : create Index of col 0 ...             Thu Nov 17 18:44:37 2022
[INFO] : create Index of col 0 end.             Thu Nov 17 18:46:08 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:46:08 2022
[INFO] : searchByIndex...             Thu Nov 17 18:46:08 2022
[INFO] : BPlusTree serialization...             Thu Nov 17 18:46:08 2022
[INFO] : serialization end.             Thu Nov 17 18:46:20 2022

*********************Start Log*********************  TIME: Thu Nov 17 18:52:19 2022
[INFO] : initTableByindex...             Thu Nov 17 18:52:19 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:52:25 2022
[INFO] : search directly...             Thu Nov 17 18:52:25 2022
[INFO] : create Index of col 0 ...             Thu Nov 17 18:52:25 2022
[INFO] : create Index of col 0 end.             Thu Nov 17 18:52:36 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 18:52:36 2022
[INFO] : searchByIndex...             Thu Nov 17 18:52:36 2022
[INFO] : BPlusTree serialization...             Thu Nov 17 18:52:36 2022
[INFO] : serialization end.             Thu Nov 17 18:52:37 2022

*********************Start Log*********************  TIME: Thu Nov 17 19:19:40 2022
[INFO] : initTableByindex...             Thu Nov 17 19:19:40 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 19:19:46 2022
[INFO] : search directly...             Thu Nov 17 19:19:46 2022
[INFO] : create Index of col 0 ...             Thu Nov 17 19:19:46 2022
[INFO] : create Index of col 0 end.             Thu Nov 17 19:19:58 2022
[INFO] : search col: 0 range:100 2000             Thu Nov 17 19:19:58 2022
[INFO] : searchByIndex...             Thu Nov 17 19:19:58 2022
[INFO] : BPlusTree serialization...             Thu Nov 17 19:19:58 2022
[INFO] : serialization end.             Thu Nov 17 19:20:00 2022

*********************Start Log*********************  TIME: Thu Nov 17 19:22:32 2022
[INFO] : testBPlusTree...             Thu Nov 17 19:22:32 2022
[INFO] : insert num:500000             Thu Nov 17 19:22:32 2022
[INFO] : delete num:500000             Thu Nov 17 19:22:32 2022
[INFO] : insert num:300000             [INFO] : search num:100000             Thu Nov 17 19:22:32 2022
[INFO] : update num:100000             Thu Nov 17 19:22:32 2022
Thu Nov 17 19:22:32 2022
[INFO] : delete num:7800000             Thu Nov 17 19:22:32 2022
[INFO] : update num:300000             Thu Nov 17 19:22:32 2022
[INFO] : search num:300000             Thu Nov 17 19:22:32 2022
[INFO] : testBPlusTree end.             Thu Nov 17 19:23:19 2022

*********************Start Log*********************  TIME: Thu Nov 17 19:57:40 2022
[INFO] : testBPlusTree...             Thu Nov 17 19:57:40 2022
[INFO] : insert num:500000             Thu Nov 17 19:57:40 2022
[INFO] : insert num:300000             Thu Nov 17 19:57:40 2022
[INFO] : delete num:100000             Thu Nov 17 19:57:40 2022
[INFO] : delete num:500000             Thu Nov 17 19:57:40 2022
[INFO] : search num:100000             [INFO] : search num:300000             Thu Nov 17 19:57:40 2022
[INFO] : update num:300000             Thu Nov 17 19:57:40 2022
[INFO] : update num:100000             Thu Nov 17 19:57:40 2022
Thu Nov 17 19:57:40 2022
[INFO] : testBPlusTree end.             Thu Nov 17 19:58:01 2022

*********************Start Log*********************  TIME: Thu Nov 17 19:58:28 2022
[INFO] : testBPlusTree...             Thu Nov 17 19:58:28 2022
[INFO] : insert num:500000             Thu Nov 17 19:58:28 2022
[INFO] : delete num:100000             Thu Nov 17 19:58:28 2022
[INFO] : insert num:300000             Thu Nov 17 19:58:28 2022
[INFO] : search num:100000             Thu Nov 17 19:58:28 2022
[INFO] : search num:300000             Thu Nov 17 19:58:28 2022
[INFO] : delete num:500000             [INFO] : update num:100000             Thu Nov 17 19:58:28 2022
Thu Nov 17 19:58:28 2022
[INFO] : update num:300000             Thu Nov 17 19:58:28 2022
[INFO] : testBPlusTree end.             Thu Nov 17 19:58:46 2022
